"","gene","logFC","p"
"2201","Rv0076c",0.781283427860624,0.00401936856778234
"270","Rv0077c",2.22084149788113,3.37621982668822e-07
"2767","Rv0078A",0.254788931399485,0.040844448376975
"2495","Rv0078B",0.517326024114079,0.0130694994716919
"107","Rv0079",2.88583192070961,2.44346244803494e-08
"63","Rv0080",3.51351287087716,7.66336302036139e-09
"186","Rv0081",2.11586782964147,1.32061603120923e-07
"826","Rv0082",1.40245236096458,1.09664599779727e-05
"2186","Rv0083",0.50116102201381,0.00364487390656637
"2542","Rv0085",0.493562575288934,0.0155041256202753
"2505","Rv0088",0.263653866731977,0.0136909196495361
"2363","Rv0090",0.688177475294377,0.00776478996594558
"2720","Rv0091",-0.464952720204734,0.0318974048373505
"1835","Rv0092",0.389614186481157,0.000892524847943897
"2445","Rv0098",-0.671605758217497,0.0107931856933521
"1252","Rv0099",-0.806276827098251,7.08570406881879e-05
"2275","Rv0100",-1.17667344878486,0.00499564286706748
"1985","Rv0101",-0.414228308224859,0.00166964567587491
"1984","Rv0103c",-0.274721636428017,0.00166960199844824
"225","Rv0104",2.13779313406109,2.28182521251814e-07
"951","Rv0107c",0.593138209185164,1.83181338296193e-05
"568","Rv0108c",1.13766455671083,2.57277083581437e-06
"2098","Rv0109",0.473715131356193,0.00269219389339901
"2668","Rv0110",-0.282461803220776,0.0255731416829958
"1740","Rv0111",-0.577482307443125,0.000576716324311478
"426","Rv0113",1.13342365225253,9.73593420765499e-07
"1000","Rv0114",1.62215608212523,2.25822187686767e-05
"1040","Rv0115",1.53221130892954,2.79250264381841e-05
"2042","Rv0115a",1.63637098999858,0.00223927926072791
"945","Rv0116c",1.2055242503624,1.80617253783406e-05
"809","Rv0117",0.908438034522725,1.02187962885779e-05
"50","Rv0118c",2.87773763717932,5.33941142426886e-09
"2503","Rv0119",0.418780811117411,0.0136899460094049
"118","Rv0120c",1.6473437139882,3.73654796887506e-08
"1987","Rv0121c",-0.594781680436541,0.00168015168985124
"1716","Rv0123",1.02421623738518,0.000514692161462495
"1218","Rv0126",-0.551583137182272,6.01371511443378e-05
"1180","Rv0127",-0.536316971675313,5.10427162539946e-05
"2268","Rv0130",-0.51107113879079,0.00490511462803103
"1710","Rv0131c",0.658533568755587,0.000507435454021334
"1016","Rv0132c",1.00007812567351,2.42539233674158e-05
"1824","Rv0133",-0.353800025618558,0.000854917787499355
"542","Rv0134",-0.945082519637804,2.28941130998501e-06
"369","Rv0136",1.81764000478219,7.1269733023714e-07
"2361","Rv0139",-0.346562448957711,0.00773238686904106
"1488","Rv0141c",0.707160552181612,0.000193513586704604
"255","Rv0142",1.94266950688869,3.17054758983689e-07
"773","Rv0144",0.876483697752143,8.18751634820813e-06
"351","Rv0145",1.00810752440761,6.21356784684331e-07
"1900","Rv0146",0.367618543992751,0.00115138641023522
"349","Rv0147",0.939589301915998,6.21356784684331e-07
"1647","Rv0148",0.417898899065868,0.000384948899463962
